Sample,X(ms) [01.01.2012 00:43:32 549 UTC],"labjack_in[%IW64]","labjack_norm[%MD66]","labjack_value[%MD68]"
5975,1325378613393.230400,0,6.91008298727854E-41,-5
5976,1325378613395.634020,0,6.91008298727854E-41,-5
5977,1325378613397.415620,0,6.91008298727854E-41,-5
5978,1325378613399.732140,0,6.91008298727854E-41,-5
5979,1325378613402.233600,0,6.91008298727854E-41,-5
5980,1325378613404.580380,0,6.91008298727854E-41,-5
5981,1325378613407.124880,0,6.91008298727854E-41,-5
5982,1325378613409.442300,0,6.91008298727854E-41,-5
5983,1325378613411.738240,0,6.91008298727854E-41,-5
5984,1325378613414.276480,0,6.91008298727854E-41,-5
5985,1325378613416.616840,0,6.91008298727854E-41,-5
5986,1325378613419.169360,0,6.91008298727854E-41,-5
5987,1325378613420.861820,0,6.91008298727854E-41,-5
5988,1325378613423.403240,0,6.91008298727854E-41,-5
5989,1325378613425.748260,0,6.91008298727854E-41,-5
5990,1325378613428.266320,0,6.91008298727854E-41,-5
5991,1325378613430.566380,0,6.91008298727854E-41,-5
5992,1325378613432.944680,0,6.91008298727854E-41,-5
5993,1325378613435.509420,0,6.91008298727854E-41,-5
5994,1325378613437.836140,0,6.91008298727854E-41,-5
5995,1325378613440.423560,0,6.91008298727854E-41,-5
5996,1325378613442.369240,0,6.91008298727854E-41,-5
5997,1325378613444.173140,0,6.91008298727854E-41,-5
5998,1325378613445.839600,0,6.91008298727854E-41,-5
5999,1325378613447.646100,0,6.91008298727854E-41,-5
6000,1325378613449.428800,0,6.91008298727854E-41,-5
6001,1325378613451.229380,0,6.91008298727854E-41,-5
6002,1325378613452.902440,0,6.91008298727854E-41,-5
